company_name,rating,bio,salary,job,founded_in
vivo,4.1,Consumer Electronics & Appliances | Jaipur +414 other locations,12.9k,11,2009 (17 yrs old)
Ecom Express,4.0,Logistics | Jaipur +775 other locations,9.5k,,2012 (14 yrs old)
KEC International,4.0,Engineering & Construction | Jaipur +313 other locations,13.3k,6,1945 (81 yrs old)
JBM Group,3.9,Auto Components | Jaipur +117 other locations,13.9k,45,
Nagarro,3.9,IT Services & Consulting | Jaipur +49 other locations,32k,945,1996 (30 yrs old)
Varun Beverages,4.0,Beverage | Jaipur +379 other locations,12k,41,1995 (31 yrs old)
ITC Infotech,3.7,IT Services & Consulting | Jaipur +67 other locations,29.5k,78,2000 (26 yrs old)
Home Credit Finance,4.0,NBFC | Jaipur +136 other locations,9.4k,96,2012 (14 yrs old)
Bosch,4.1,Auto Components | Jaipur +130 other locations,20.7k,,1886 (140 yrs old)
Randstad,3.7,Recruitment | Jaipur +352 other locations,16.4k,8,1992 (34 yrs old)
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Jaipur +56 other locations,,,
Hewlett Packard Enterprise,4.1,IT Services & Consulting | Jaipur +103 other locations,27.1k,220,2015 (11 yrs old)
Utkarsh Small Finance Bank,3.6,Banking | Jaipur +407 other locations,10.8k,26,2009 (17 yrs old)
Mahindra Logistics,3.7,Logistics | Jaipur +233 other locations,2.8L,382,1986 (40 yrs old)
Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Jaipur +291 other locations,13.1k,76,
L&T Finance,3.9,NBFC | Jaipur +634 other locations,,,
OPPO,3.9,Consumer Electronics & Appliances | Jaipur +410 other locations,11.8k,10,2004 (22 yrs old)
Dell,3.8,Consumer Electronics & Appliances | Jaipur +117 other locations,28.7k,16,1984 (42 yrs old)
CARS24,3.4,Internet | Jaipur +173 other locations,,,
Havells,3.9,Electrical Equipment | Jaipur +260 other locations,15.5k,34,1983 (43 yrs old)
Intas Pharmaceuticals,4.1,Pharma | Jaipur +148 other locations,17.3k,54,1977 (49 yrs old)
R1 RCM,3.8,BPO | Jaipur +46 other locations,21.1k,163,2007 (19 yrs old)
Tata AIA Life Insurance,3.9,Insurance | Jaipur +442 other locations,14.1k,680,2001 (25 yrs old)
Hyundai Motor India Limited,4.1,Automobile | Jaipur +287 other locations,13.8k,3,1967 (59 yrs old)
Deutsche Bank,3.8,Banking | Jaipur +42 other locations,36k,391,1870 (156 yrs old)
Motilal Oswal Financial Services,3.7,Financial Services | Jaipur +168 other locations,12.9k,45,
Team Lease,3.9,Recruitment | Jaipur +396 other locations,16k,,2016 (10 yrs old)
Berger Paints,3.7,Chemicals | Jaipur +353 other locations,10k,131,
VE Commercial Vehicles,3.9,Automobile | Jaipur +179 other locations,14.1k,8,2008 (18 yrs old)
Lenskart,3.3,Internet | Jaipur +240 other locations,13.2k,128,
Thermax Limited,4.2,Industrial Machinery | Jaipur +250 other locations,,,
Bajaj Auto,3.8,Automobile | Jaipur +317 other locations,14.5k,,1945 (81 yrs old)
Macleods Pharmaceuticals,3.7,Pharma | Jaipur +133 other locations,15.5k,10,1986 (40 yrs old)
Aakash Educational Services,3.2,Education & Training | Jaipur +244 other locations,13.6k,71,1988 (38 yrs old)
Kogta Financial India Limited,4.7,NBFC | Jaipur +259 other locations,1.9k,115,1996 (30 yrs old)
Jubilant Foods Works,3.7,Hospitality | Jaipur +262 other locations,9.2k,192,1995 (31 yrs old)
LG Electronics,3.9,Consumer Electronics & Appliances | Jaipur +298 other locations,11k,,1958 (68 yrs old)
Royal Enfield,4.2,Automobile | Jaipur +372 other locations,14.8k,20,1901 (125 yrs old)
Hindalco Industries,4.2,Metals & Mining | Jaipur +127 other locations,12.4k,4,1958 (68 yrs old)
Jindal Steel Limited,3.9,Iron & Steel | Jaipur +172 other locations,15.4k,31,1979 (47 yrs old)
John Deere,4.0,Industrial Machinery | Jaipur +155 other locations,15.2k,1,2001 (25 yrs old)
Tata Communications,3.9,Telecom | Jaipur +102 other locations,23.5k,33,1986 (40 yrs old)
DCB Bank,3.8,Banking | Jaipur +341 other locations,9.5k,11,
