company_name,rating,bio,salary,job,founded_in,field,other,city
Mahindra Finance,3.9,NBFC | Noida +730 other locations,12000.0,390.0,1991 (35 yrs old),NBFC,Noida +730 other locations,noida
PolicyBazaar,3.7,Internet | Noida +149 other locations,17100.0,434.0,,Internet,Noida +149 other locations,noida
Bosch Global Software Technologies,3.7,IT Services & Consulting | Noida +47 other locations,39900.0,14.0,1997 (29 yrs old),IT Services & Consulting,Noida +47 other locations,noida
Apollo Hospitals,4.1,Healthcare | Noida +229 other locations,16400.0,168.0,1983 (43 yrs old),Healthcare,Noida +229 other locations,noida
UST,3.7,IT Services & Consulting | Noida +50 other locations,39400.0,142.0,,IT Services & Consulting,Noida +50 other locations,noida
Ashok Leyland,4.0,Automobile | Noida +259 other locations,18700.0,77.5,1948 (78 yrs old),Automobile,Noida +259 other locations,noida
Citicorp,3.7,Financial Services | Noida +68 other locations,51900.0,77.5,1997 (29 yrs old),Financial Services,Noida +68 other locations,noida
Swiggy,3.7,Internet | Noida +230 other locations,22800.0,281.0,2014 (12 yrs old),Internet,Noida +230 other locations,noida
Hero MotoCorp,4.1,Automobile | Noida +366 other locations,15700.0,77.5,1984 (42 yrs old),Automobile,Noida +366 other locations,noida
Cyient,3.6,IT Services & Consulting | Noida +48 other locations,27300.0,78.0,1991 (35 yrs old),IT Services & Consulting,Noida +48 other locations,noida
CGI Group,4.0,IT Services & Consulting | Noida +43 other locations,45200.0,655.0,1976 (50 yrs old),IT Services & Consulting,Noida +43 other locations,noida
SBI Cards & Payment Services,3.6,Financial Services | Noida +436 other locations,23700.0,77.5,,Financial Services,Noida +436 other locations,noida
Kalpataru Projects International,4.1,Engineering & Construction | Noida +321 other locations,13600.0,1.0,1981 (45 yrs old),Engineering & Construction,Noida +321 other locations,noida
JustDial,3.5,Internet | Noida +229 other locations,15400.0,53.0,1996 (30 yrs old),Internet,Noida +229 other locations,noida
BNY,3.7,Financial Services | Noida +25 other locations,30600.0,1.0,1784 (242 yrs old),Financial Services,Noida +25 other locations,noida
IQVIA,3.7,Clinical Research | Noida +64 other locations,30600.0,20.0,10k-50k,Clinical Research,Noida +64 other locations,noida
Nagarjuna Construction Company,4.0,Engineering & Construction | Noida +295 other locations,12000.0,11.0,1998 (28 yrs old),Engineering & Construction,Noida +295 other locations,noida
NTT Data,3.8,IT Services & Consulting | Noida +81 other locations,35700.0,181.0,1988 (38 yrs old),IT Services & Consulting,Noida +81 other locations,noida
SBI Life Insurance Company,3.7,Insurance | Noida +655 other locations,11700.0,6.0,2001 (25 yrs old),Insurance,Noida +655 other locations,noida
CBRE,4.1,Real Estate | Noida +91 other locations,18700.0,19.0,1906 (120 yrs old),Real Estate,Noida +91 other locations,noida
TVS Motor,3.9,Automobile | Noida +349 other locations,15800.0,64.0,1979 (47 yrs old),Automobile,Noida +349 other locations,noida
Schneider Electric,4.2,Industrial Automation | Noida +119 other locations,24400.0,24.0,1999 (27 yrs old),Industrial Automation,Noida +119 other locations,noida
Persistent Systems,3.6,IT Services & Consulting | Noida +41 other locations,44400.0,235.0,,IT Services & Consulting,Noida +41 other locations,noida
State Bank of India,3.8,Banking | Noida +618 other locations,11600.0,10.0,1806 (220 yrs old),Banking,Noida +618 other locations,noida
vivo,4.1,Consumer Electronics & Appliances | Noida +414 other locations,12900.0,11.0,2009 (17 yrs old),Consumer Electronics & Appliances,Noida +414 other locations,noida
Atos,3.8,IT Services & Consulting | Noida +49 other locations,34100.0,91.0,2000 (26 yrs old),IT Services & Consulting,Noida +49 other locations,noida
Ecom Express,4.0,Logistics | Noida +775 other locations,9500.0,77.5,2012 (14 yrs old),Logistics,Noida +775 other locations,noida
Eviden,3.6,IT Services & Consulting | Noida +39 other locations,28000.0,8.0,1k-5k,IT Services & Consulting,Noida +39 other locations,noida
KEC International,4.0,Engineering & Construction | Noida +313 other locations,13300.0,6.0,1945 (81 yrs old),Engineering & Construction,Noida +313 other locations,noida
Amdocs,3.6,Software Product | Noida +23 other locations,37400.0,11.0,1982 (44 yrs old),Software Product,Noida +23 other locations,noida
JBM Group,3.9,Auto Components | Noida +117 other locations,13900.0,45.0,,Auto Components,Noida +117 other locations,noida
Nagarro,3.9,IT Services & Consulting | Noida +49 other locations,32000.0,945.0,1996 (30 yrs old),IT Services & Consulting,Noida +49 other locations,noida
Varun Beverages,4.0,Beverage | Noida +379 other locations,12000.0,41.0,1995 (31 yrs old),Beverage,Noida +379 other locations,noida
